	npix	ntrain	nlayer	activation	batch_size	dropout	batchnorm	optimizer	logspace	add_inputs	architecture	train_RMSLE	train_logR2	train_RMSE	train_R2	val_RMSLE	val_logR2	val_RMSE	val_R2	test_RMSLE	test_logR2	test_RMSE	test_R2
0	69	1000	0	relu	16.0	False	False	nadam	True	False	32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;512-dense;1-dense;	0.21157735350671908	0.2847963941666739	1.0445496915115513	0.2579146711578242	0.2000131683818028	0.33142618143351443	1.0414842825829436	0.2659755760800244	0.2179589185972898	0.2908935722327175	1.0483189721047348	0.2706770384729196
1	69	1000	0	relu	16.0	True	False	nadam	True	False	32-conv 5x5;maxpool 2x2;dropout(0.25);64-conv 4x4;maxpool 2x2;dropout(0.25);128-conv 3x3;maxpool 2x2;dropout(0.25);128-conv 3x3;global maxpool;512-dense;1-dense;	0.2175295510499708	0.2439894406547227	1.083120790887389	0.2020982455641288	0.2064135208919475	0.28795331266046664	1.0828259051988816	0.2065449205630628	0.22226574521120496	0.262593086361102	1.077909180254186	0.2289237313537273
2	69	10000	0	relu	16.0	True	False	nadam	True	False	32-conv 5x5;maxpool 2x2;dropout(0.25);64-conv 4x4;maxpool 2x2;dropout(0.25);128-conv 3x3;maxpool 2x2;dropout(0.25);128-conv 3x3;global maxpool;512-dense;1-dense;	0.21162830391341875	0.2931913818914731	1.0975879044731471	0.19052026412178533	0.2025345608748172	0.3144636750857508	1.0912821473048615	0.19410368241077405	0.21672611530744548	0.2988924784616651	1.0861275881648569	0.21712092384611625
3	69	10000	0	relu	16.0	True	True	nadam	True	False	32-conv 5x5;maxpool 2x2;dropout(0.25);batchnorm;64-conv 4x4;maxpool 2x2;dropout(0.25);batchnorm;128-conv 3x3;maxpool 2x2;dropout(0.25);batchnorm;128-conv 3x3;global maxpool;512-dense;1-dense;	0.20832511048381724	0.31508358436816997	1.0096515432207651	0.3150318415005502	0.20192453180946773	0.3185870926608472	1.018180325606232	0.29845671482953884	0.2207277870437624	0.27276269034786915	1.0295509627459107	0.29655735396312044
4	69	10000	0	selu	16.0	False	False	nadam	True	False	32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;512-dense;1-dense;	0.20845707118886028	0.3142156075934751	1.0565747503723484	0.2498850654690548	0.20038830308358474	0.3289159423231143	1.0520127823009549	0.2510598665744597	0.2178193593220205	0.2918013643702283	1.0688400112180079	0.24184430513148736
5	69	10000	0	relu	16.0	False	False	nadam	True	False	32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;512-dense;1-dense;	0.18627396023294174	0.4524060650377621	0.9364156781476264	0.4107973259569092	0.1791863429115201	0.4634107123238349	0.942898404311768	0.3983625360481208	0.19711457951408168	0.420037879679856	0.9531732803095856	0.39705636514368414
6	69	10000	0	relu	16.0	False	False	nadam	False	False	32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;512-dense;1-dense;	0.19528396451856844	0.3981510598711449	0.9122119101064184	0.4408622263025869	0.1877367810725689	0.4109788070518794	0.9145967445526036	0.43393751601512776	0.20805788200284814	0.3538542689565608	0.9403098815961232	0.4132204147405458
7	69	10000	0	relu	32.0	False	False	nadam	False	False	32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;512-dense;1-dense;	0.19701055006500434	0.3874616268573223	0.9143114055539362	0.4382855046073697	0.18842675039763776	0.4066413153324345	0.9104788716752524	0.4390233112268398	0.21004020423852168	0.341482990983875	0.9423124608616852	0.4107184227252987
8	128	10000	0	relu	32.0	False	False	nadam	False	False	32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;512-dense;1-dense;	0.18928999996837312	0.4345298610248084	0.8902873606591994	0.4674164207711562	0.18297302426500545	0.4404919758881035	0.8945695532870818	0.4584565640657737	0.2004749266360797	0.4000953067719388	0.9148695372605194	0.4445418675799727
9	128	30000	0	relu	32.0	False	False	nadam	False	False	32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;512-dense;1-dense;	0.18507643015656947	0.4645661869172898	0.8606730318131777	0.5034385826249815	0.17571117561618685	0.4840222724597773	0.8514007759048517	0.5094614379787271	0.1956467493562772	0.4286431924576887	0.8819780885667423	0.4837636429503451
10	69	10000	0	relu	32.0	False	False	nadam	False	True	Input (69, 69, 1);32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;Input (2,);concatenate;512-dense;1-dense;	0.17501277422771747	0.5166142629697908	0.8348723505440732	0.531653247750544	0.16842999126417776	0.5258988171996586	0.8484919484201576	0.5128075813919195	0.1849318110457143	0.48951218688291565	0.853450973914768	0.5166183583386075
11	128	30000	0	relu	32.0	False	False	nadam	False	True	Input (128, 128, 1);32-conv 5x5;maxpool 2x2;64-conv 4x4;maxpool 2x2;128-conv 3x3;maxpool 2x2;128-conv 3x3;global maxpool;Input (2,);concatenate;512-dense;1-dense;	0.14759014458697362	0.659499085921506	0.7365648996393648	0.6363206685187116	0.14241810716949832	0.6610289525380104	0.7434823161316018	0.6259356182794578	0.1526294171571121	0.6522728310551971	0.7465413655288927	0.6301371181173991
